Robot,Baseline,Tartan
DeliBot,1.0,1.672850219679705
PatrolBot,1.0,4.589513301130292
MoveBot,1.0,4.513303354615344
HomeBot,1.0,2.1139609128518035
FlyBot,1.0,3.628462862417786
CarriBot,1.0,1.9847287698713878
GMean,1.0,2.842539462606852
