Robot,Baseline,Tartan
DeliBot,1.0,1.668238325444521
PatrolBot,1.0,4.602144467116419
MoveBot,1.0,9.292634596279624
HomeBot,1.0,2.1733677530840394
FlyBot,1.0,3.6290905317620434
CarriBot,1.0,1.9863464449383212
GMean,1.0,3.221493085096075
